scenario,load_level,f_line,f_location,f_duration,iter_time
scenario_0001,0.5,Line 01 - 39.ElmLne,0,0.1,1.6005258000004687
scenario_0002,0.5,Line 01 - 39.ElmLne,0,0.15,1.6799985999969067
scenario_0003,0.5,Line 01 - 39.ElmLne,0,0.18,1.6235673000046518
scenario_0004,0.5,Line 01 - 39.ElmLne,0,0.2,1.6145858999952907
scenario_0005,0.5,Line 01 - 39.ElmLne,0,0.25,1.6508692999996128
scenario_0006,0.5,Line 01 - 39.ElmLne,20,0.1,1.6319967999952496
scenario_0007,0.5,Line 01 - 39.ElmLne,20,0.15,1.6424791000026744
scenario_0008,0.5,Line 01 - 39.ElmLne,20,0.18,1.6284420000010869
scenario_0009,0.5,Line 01 - 39.ElmLne,20,0.2,1.6297791000033612
scenario_0010,0.5,Line 01 - 39.ElmLne,20,0.25,1.6578405000036582
scenario_0011,0.5,Line 01 - 39.ElmLne,50,0.1,1.6380294999980833
scenario_0012,0.5,Line 01 - 39.ElmLne,50,0.15,1.712467800003651
scenario_0013,0.5,Line 01 - 39.ElmLne,50,0.18,1.6595368000052986
scenario_0014,0.5,Line 01 - 39.ElmLne,50,0.2,1.6868154000039794
scenario_0015,0.5,Line 01 - 39.ElmLne,50,0.25,1.6709243999939645
scenario_0016,0.5,Line 01 - 39.ElmLne,80,0.1,1.6519293999954243
scenario_0017,0.5,Line 01 - 39.ElmLne,80,0.15,1.6984891000029165
scenario_0018,0.5,Line 01 - 39.ElmLne,80,0.18,1.6459156999990228
scenario_0019,0.5,Line 01 - 39.ElmLne,80,0.2,1.6309522000010475
scenario_0020,0.5,Line 01 - 39.ElmLne,80,0.25,1.6956988999954774
scenario_0021,0.5,Line 02 - 03.ElmLne,0,0.1,1.7331598000018857
scenario_0022,0.5,Line 02 - 03.ElmLne,0,0.15,1.6875479000009364
scenario_0023,0.5,Line 02 - 03.ElmLne,0,0.18,1.6981242000038037
scenario_0024,0.5,Line 02 - 03.ElmLne,0,0.2,1.7314499999993131
scenario_0025,0.5,Line 02 - 03.ElmLne,0,0.25,1.7930735000045388
scenario_0026,0.5,Line 02 - 03.ElmLne,20,0.1,1.7025145000006887
scenario_0027,0.5,Line 02 - 03.ElmLne,20,0.15,1.709622100002889
scenario_0028,0.5,Line 02 - 03.ElmLne,20,0.18,1.7103897000051802
scenario_0029,0.5,Line 02 - 03.ElmLne,20,0.2,1.7140537000013865
scenario_0030,0.5,Line 02 - 03.ElmLne,20,0.25,1.7504272000005585
scenario_0031,0.5,Line 02 - 03.ElmLne,50,0.1,1.7064947000035318
scenario_0032,0.5,Line 02 - 03.ElmLne,50,0.15,1.7278183000016725
scenario_0033,0.5,Line 02 - 03.ElmLne,50,0.18,1.6710644999984652
scenario_0034,0.5,Line 02 - 03.ElmLne,50,0.2,1.7068032000024687
scenario_0035,0.5,Line 02 - 03.ElmLne,50,0.25,1.7569199000063236
scenario_0036,0.5,Line 02 - 03.ElmLne,80,0.1,1.6956387000027462
scenario_0037,0.5,Line 02 - 03.ElmLne,80,0.15,1.6760581999988062
scenario_0038,0.5,Line 02 - 03.ElmLne,80,0.18,1.7565541000003577
scenario_0039,0.5,Line 02 - 03.ElmLne,80,0.2,1.687112799998431
scenario_0040,0.5,Line 02 - 03.ElmLne,80,0.25,1.7457560000038939
scenario_0041,0.5,Line 02 - 25.ElmLne,0,0.1,1.6907992999986163
scenario_0042,0.5,Line 02 - 25.ElmLne,0,0.15,1.7439482000045246
scenario_0043,0.5,Line 02 - 25.ElmLne,0,0.18,1.6489772999993875
scenario_0044,0.5,Line 02 - 25.ElmLne,0,0.2,1.7007747999959975
scenario_0045,0.5,Line 02 - 25.ElmLne,0,0.25,1.7123905999978888
scenario_0046,0.5,Line 02 - 25.ElmLne,20,0.1,1.8003117999978713
scenario_0047,0.5,Line 02 - 25.ElmLne,20,0.15,1.6704174000042258
scenario_0048,0.5,Line 02 - 25.ElmLne,20,0.18,1.6629044000001159
scenario_0049,0.5,Line 02 - 25.ElmLne,20,0.2,1.6697125999999116
scenario_0050,0.5,Line 02 - 25.ElmLne,20,0.25,1.6890340999962064
scenario_0051,0.5,Line 02 - 25.ElmLne,50,0.1,1.7132282000020496
scenario_0052,0.5,Line 02 - 25.ElmLne,50,0.15,1.7479575999968802
scenario_0053,0.5,Line 02 - 25.ElmLne,50,0.18,1.6698939999987488
scenario_0054,0.5,Line 02 - 25.ElmLne,50,0.2,1.687654699999257
scenario_0055,0.5,Line 02 - 25.ElmLne,50,0.25,1.6884170999983326
scenario_0056,0.5,Line 02 - 25.ElmLne,80,0.1,1.7042198999988614
scenario_0057,0.5,Line 02 - 25.ElmLne,80,0.15,1.7243757000032929
scenario_0058,0.5,Line 02 - 25.ElmLne,80,0.18,1.7354383999991114
scenario_0059,0.5,Line 02 - 25.ElmLne,80,0.2,1.656281299998227
scenario_0060,0.5,Line 02 - 25.ElmLne,80,0.25,1.7208586999986437
scenario_0061,0.5,Line 03 - 04.ElmLne,0,0.1,1.699069900001632
scenario_0062,0.5,Line 03 - 04.ElmLne,0,0.15,1.7548803000026965
scenario_0063,0.5,Line 03 - 04.ElmLne,0,0.18,2.0098948999948334
scenario_0064,0.5,Line 03 - 04.ElmLne,0,0.2,1.7157796000028611
scenario_0065,0.5,Line 03 - 04.ElmLne,0,0.25,1.7155131000035908
scenario_0066,0.5,Line 03 - 04.ElmLne,20,0.1,1.6815274999971734
scenario_0067,0.5,Line 03 - 04.ElmLne,20,0.15,1.745157699995616
scenario_0068,0.5,Line 03 - 04.ElmLne,20,0.18,1.698217500001192
scenario_0069,0.5,Line 03 - 04.ElmLne,20,0.2,1.7533017000023392
scenario_0070,0.5,Line 03 - 04.ElmLne,20,0.25,1.7643297999966308
scenario_0071,0.5,Line 03 - 04.ElmLne,50,0.1,1.6725712999977986
scenario_0072,0.5,Line 03 - 04.ElmLne,50,0.15,1.6811641000022064
scenario_0073,0.5,Line 03 - 04.ElmLne,50,0.18,1.7174518999963766
scenario_0074,0.5,Line 03 - 04.ElmLne,50,0.2,1.7079666999998153
scenario_0075,0.5,Line 03 - 04.ElmLne,50,0.25,1.727490299999772
scenario_0076,0.5,Line 03 - 04.ElmLne,80,0.1,1.6607465000051889
scenario_0077,0.5,Line 03 - 04.ElmLne,80,0.15,1.6943787000054726
scenario_0078,0.5,Line 03 - 04.ElmLne,80,0.18,1.6799498999971547
scenario_0079,0.5,Line 03 - 04.ElmLne,80,0.2,1.6717199000049732
scenario_0080,0.5,Line 03 - 04.ElmLne,80,0.25,1.7044529999984661
scenario_0081,0.5,Line 03 - 18.ElmLne,0,0.1,1.6505848000015249
scenario_0082,0.5,Line 03 - 18.ElmLne,0,0.15,1.7411667999986093
scenario_0083,0.5,Line 03 - 18.ElmLne,0,0.18,1.710598099998606
scenario_0084,0.5,Line 03 - 18.ElmLne,0,0.2,1.7310510000024806
scenario_0085,0.5,Line 03 - 18.ElmLne,0,0.25,1.7525894999998854
scenario_0086,0.5,Line 03 - 18.ElmLne,20,0.1,1.7227872000003117
scenario_0087,0.5,Line 03 - 18.ElmLne,20,0.15,1.7046238000039011
scenario_0088,0.5,Line 03 - 18.ElmLne,20,0.18,1.7145366000040667
scenario_0089,0.5,Line 03 - 18.ElmLne,20,0.2,1.7227222000001348
scenario_0090,0.5,Line 03 - 18.ElmLne,20,0.25,1.7091217000051984
scenario_0091,0.5,Line 03 - 18.ElmLne,50,0.1,1.6494884999992792
scenario_0092,0.5,Line 03 - 18.ElmLne,50,0.15,1.7132363000055193
scenario_0093,0.5,Line 03 - 18.ElmLne,50,0.18,1.7237096000026213
scenario_0094,0.5,Line 03 - 18.ElmLne,50,0.2,1.7094807000030414
scenario_0095,0.5,Line 03 - 18.ElmLne,50,0.25,1.7199488000042038
scenario_0096,0.5,Line 03 - 18.ElmLne,80,0.1,1.6835860999999568
scenario_0097,0.5,Line 03 - 18.ElmLne,80,0.15,1.7343280999994022
scenario_0098,0.5,Line 03 - 18.ElmLne,80,0.18,1.7150543999960064
scenario_0099,0.5,Line 03 - 18.ElmLne,80,0.2,1.7476333000013256
scenario_0100,0.5,Line 03 - 18.ElmLne,80,0.25,1.7763632999995025
scenario_0101,0.5,Line 04 - 05.ElmLne,0,0.1,1.7490043999932823
scenario_0102,0.5,Line 04 - 05.ElmLne,0,0.15,1.743441200000234
scenario_0103,0.5,Line 04 - 05.ElmLne,0,0.18,1.7589977999959956
scenario_0104,0.5,Line 04 - 05.ElmLne,0,0.2,1.7593259999994189
scenario_0105,0.5,Line 04 - 05.ElmLne,0,0.25,1.7587549999952898
scenario_0106,0.5,Line 04 - 05.ElmLne,20,0.1,1.6896835000006831
scenario_0107,0.5,Line 04 - 05.ElmLne,20,0.15,1.79031180000311
scenario_0108,0.5,Line 04 - 05.ElmLne,20,0.18,1.7439627999992808
scenario_0109,0.5,Line 04 - 05.ElmLne,20,0.2,1.7353538000024855
scenario_0110,0.5,Line 04 - 05.ElmLne,20,0.25,1.7662754000048153
scenario_0111,0.5,Line 04 - 05.ElmLne,50,0.1,1.7178906000044663
scenario_0112,0.5,Line 04 - 05.ElmLne,50,0.15,1.7523056000063661
scenario_0113,0.5,Line 04 - 05.ElmLne,50,0.18,1.8071658000044408
scenario_0114,0.5,Line 04 - 05.ElmLne,50,0.2,1.764258700000937
scenario_0115,0.5,Line 04 - 05.ElmLne,50,0.25,1.7816931999986991
scenario_0116,0.5,Line 04 - 05.ElmLne,80,0.1,1.7123215000028722
scenario_0117,0.5,Line 04 - 05.ElmLne,80,0.15,1.7497849999999744
scenario_0118,0.5,Line 04 - 05.ElmLne,80,0.18,1.7492572999981348
scenario_0119,0.5,Line 04 - 05.ElmLne,80,0.2,1.7937451000034343
scenario_0120,0.5,Line 04 - 05.ElmLne,80,0.25,1.778958299997612
scenario_0121,0.5,Line 04 - 14.ElmLne,0,0.1,1.7092065000033472
scenario_0122,0.5,Line 04 - 14.ElmLne,0,0.15,1.7581395999950473
scenario_0123,0.5,Line 04 - 14.ElmLne,0,0.18,1.722905400005402
scenario_0124,0.5,Line 04 - 14.ElmLne,0,0.2,1.7891508000029717
scenario_0125,0.5,Line 04 - 14.ElmLne,0,0.25,1.758619500003988
scenario_0126,0.5,Line 04 - 14.ElmLne,20,0.1,1.7353799999982584
scenario_0127,0.5,Line 04 - 14.ElmLne,20,0.15,1.7196074000021326
scenario_0128,0.5,Line 04 - 14.ElmLne,20,0.18,1.7302576000001864
scenario_0129,0.5,Line 04 - 14.ElmLne,20,0.2,1.7855433000004268
scenario_0130,0.5,Line 04 - 14.ElmLne,20,0.25,1.7613910000000033
scenario_0131,0.5,Line 04 - 14.ElmLne,50,0.1,1.6559399000034318
scenario_0132,0.5,Line 04 - 14.ElmLne,50,0.15,1.7370279000024311
scenario_0133,0.5,Line 04 - 14.ElmLne,50,0.18,1.7061974000025657
scenario_0134,0.5,Line 04 - 14.ElmLne,50,0.2,1.7562089000057313
scenario_0135,0.5,Line 04 - 14.ElmLne,50,0.25,1.7713482000035583
scenario_0136,0.5,Line 04 - 14.ElmLne,80,0.1,1.7305261000001337
scenario_0137,0.5,Line 04 - 14.ElmLne,80,0.15,1.7327166000031866
scenario_0138,0.5,Line 04 - 14.ElmLne,80,0.18,1.718072099996789
scenario_0139,0.5,Line 04 - 14.ElmLne,80,0.2,1.771094699994137
scenario_0140,0.5,Line 04 - 14.ElmLne,80,0.25,1.736078499998257
scenario_0141,0.5,Line 05 - 06.ElmLne,0,0.1,1.719695599997067
scenario_0142,0.5,Line 05 - 06.ElmLne,0,0.15,1.7031167999957688
scenario_0143,0.5,Line 05 - 06.ElmLne,0,0.18,1.7353100000036648
scenario_0144,0.5,Line 05 - 06.ElmLne,0,0.2,1.7394550999961211
scenario_0145,0.5,Line 05 - 06.ElmLne,0,0.25,3.1275224999990314
scenario_0146,0.5,Line 05 - 06.ElmLne,20,0.1,1.7022138999964227
scenario_0147,0.5,Line 05 - 06.ElmLne,20,0.15,1.7401711999991676
scenario_0148,0.5,Line 05 - 06.ElmLne,20,0.18,1.7581156000014744
scenario_0149,0.5,Line 05 - 06.ElmLne,20,0.2,1.730658599997696
scenario_0150,0.5,Line 05 - 06.ElmLne,20,0.25,3.13068850000127
scenario_0151,0.5,Line 05 - 06.ElmLne,50,0.1,1.7010343999936595
scenario_0152,0.5,Line 05 - 06.ElmLne,50,0.15,1.8079417000044486
scenario_0153,0.5,Line 05 - 06.ElmLne,50,0.18,1.70382139999856
scenario_0154,0.5,Line 05 - 06.ElmLne,50,0.2,1.7792420999976457
scenario_0155,0.5,Line 05 - 06.ElmLne,50,0.25,3.1002589000054286
scenario_0156,0.5,Line 05 - 06.ElmLne,80,0.1,1.6593699000004563
scenario_0157,0.5,Line 05 - 06.ElmLne,80,0.15,1.7352147999990848
scenario_0158,0.5,Line 05 - 06.ElmLne,80,0.18,1.779138799996872
scenario_0159,0.5,Line 05 - 06.ElmLne,80,0.2,1.7838211999987834
scenario_0160,0.5,Line 05 - 06.ElmLne,80,0.25,3.1848093000007793
scenario_0161,0.5,Line 05 - 08.ElmLne,0,0.1,1.7155456999971648
scenario_0162,0.5,Line 05 - 08.ElmLne,0,0.15,1.678018400001747
scenario_0163,0.5,Line 05 - 08.ElmLne,0,0.18,1.7311361000029137
scenario_0164,0.5,Line 05 - 08.ElmLne,0,0.2,1.7240242000043509
scenario_0165,0.5,Line 05 - 08.ElmLne,0,0.25,1.8171540000039386
scenario_0166,0.5,Line 05 - 08.ElmLne,20,0.1,1.6664333999942755
scenario_0167,0.5,Line 05 - 08.ElmLne,20,0.15,1.702101800001401
scenario_0168,0.5,Line 05 - 08.ElmLne,20,0.18,1.727404099998239
scenario_0169,0.5,Line 05 - 08.ElmLne,20,0.2,1.7883847999983118
scenario_0170,0.5,Line 05 - 08.ElmLne,20,0.25,1.7443555999998352
scenario_0171,0.5,Line 05 - 08.ElmLne,50,0.1,1.6699912999974913
scenario_0172,0.5,Line 05 - 08.ElmLne,50,0.15,1.7235839999993914
scenario_0173,0.5,Line 05 - 08.ElmLne,50,0.18,1.7883170999994036
scenario_0174,0.5,Line 05 - 08.ElmLne,50,0.2,1.7665018000043347
scenario_0175,0.5,Line 05 - 08.ElmLne,50,0.25,1.7005441000001156
scenario_0176,0.5,Line 05 - 08.ElmLne,80,0.1,1.6570613000003505
